First,Last,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Jose,Abreu,157,601,85,183,40,0,15,75,268,62,110,0,0.304,0.378,0.446,0.824,4.2
Eloy,Jimenez,138,489,61,120,26,1,14,56,190,32,98,3,0.245,0.292,0.389,0.681,0.6
Seby,Zavala,134,510,60,138,28,1,17,76,219,31,96,0,0.271,0.321,0.429,0.75,-0.2
Danny,Mendick,124,377,34,91,19,0,15,53,155,27,86,0,0.241,0.295,0.411,0.706,-0.4
Tim,Anderson,119,245,32,55,13,1,2,17,76,11,76,12,0.224,0.269,0.31,0.579,0.1
Adam,Haseley,119,386,50,99,19,2,7,27,143,21,71,2,0.256,0.317,0.37,0.687,1.6
Andrew,Vaughn,104,397,41,84,18,1,12,51,140,32,114,2,0.212,0.273,0.353,0.626,1
Luis,Robert Jr.,99,327,15,66,7,0,5,27,88,45,79,1,0.202,0.301,0.269,0.57,-1.5
Josh,Harrison,98,380,54,108,18,0,12,56,162,17,77,11,0.284,0.319,0.426,0.746,2.1
Elvis,Andrus,97,300,38,63,8,0,3,20,80,7,65,2,0.21,0.233,0.267,0.5,-1
Jake,Burger,84,292,40,86,12,0,16,54,146,28,72,0,0.295,0.358,0.5,0.858,1.7
Yasmani,Grandal,79,332,50,100,13,0,6,25,131,14,55,13,0.301,0.339,0.395,0.734,1.3
Gavin,Sheets,61,178,22,48,14,0,2,21,68,19,64,0,0.27,0.347,0.382,0.729,1
AJ,Pollock,53,151,12,34,9,0,0,10,43,6,33,0,0.225,0.261,0.285,0.546,0
Mark,Payton,51,168,20,42,9,1,8,26,77,10,56,0,0.25,0.302,0.458,0.761,-0.1
Yoan,Moncada,43,181,25,49,8,0,9,28,84,9,30,11,0.271,0.309,0.464,0.773,1.7
Adam,Engel,32,105,15,25,4,1,2,11,37,2,39,0,0.238,0.257,0.352,0.609,-0.4
Reese,McGuire,31,97,22,28,4,1,3,15,43,7,23,1,0.289,0.343,0.443,0.786,0.5
Romy,Gonzalez,14,21,4,5,0,0,0,2,5,3,7,0,0.238,0.333,0.238,0.571,0.1
Leury,Garcia,11,35,3,4,1,0,1,1,8,1,12,0,0.114,0.139,0.229,0.367,-0.5
Carlos,Perez,8,21,3,3,0,0,0,1,3,4,4,0,0.143,0.28,0.143,0.423,-0.1
Lenyn,Sosa,7,18,0,4,2,0,0,2,6,0,2,0,0.222,0.222,0.333,0.556,-0.2
